Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Region,State,City,Category,Sub-Category,Product Name,Quantity,Discount,Sales,Profit
ORD-01578,2023-04-10,2023-04-11,Standard Class,CUST-0132,Consumer,West,Rajasthan,Udaipur,Technology,Machines,Label Maker,9,0.0,2989.98,615.54
ORD-00141,2025-06-16,2025-06-22,Second Class,CUST-0170,Home Office,West,Rajasthan,Jaipur,Office Supplies,Binders,View Binder,2,0.0,109.49,29.8
ORD-00111,2024-01-31,2024-02-02,Same Day,CUST-0386,Corporate,Central,Chhattisgarh,Raipur,Technology,Machines,Laminator,7,0.2,1393.01,18.71
ORD-00260,2024-04-10,2024-04-17,Same Day,CUST-0387,Corporate,North,Uttar Pradesh,Noida,Office Supplies,Art,Sketch Pad,3,0.0,15.04,2.87
ORD-01392,2024-05-18,2024-05-23,Same Day,CUST-0387,Home Office,Central,Madhya Pradesh,Bhopal,Technology,Phones,Smartphone X200,3,0.5,2059.15,-239.94
ORD-01745,2023-01-19,2023-01-21,Second Class,CUST-0354,Consumer,North,Delhi,New Delhi,Technology,Copiers,Desktop Copier,3,0.5,774.25,126.08
ORD-00515,2025-05-28,2025-05-30,Same Day,CUST-0010,Home Office,West,Maharashtra,Nagpur,Technology,Accessories,Wireless Mouse,10,0.3,1715.63,363.09
ORD-01518,2025-12-14,2025-12-20,Same Day,CUST-0088,Home Office,South,Karnataka,Mysore,Furniture,Chairs,Ergonomic Chair,9,0.0,1763.5,214.71
ORD-01387,2023-01-06,2023-01-12,First Class,CUST-0170,Corporate,West,Gujarat,Ahmedabad,Furniture,Bookcases,Metal Bookcase,4,0.4,676.22,-9.22
ORD-01059,2024-12-25,2024-12-29,Standard Class,CUST-0273,Consumer,North,Uttar Pradesh,Lucknow,Technology,Machines,Laminator,6,0.4,1734.9,281.11
ORD-01922,2023-05-18,2023-05-21,Same Day,CUST-0118,Corporate,East,West Bengal,Howrah,Furniture,Bookcases,Wooden Bookcase,2,0.0,202.49,23.92
ORD-01737,2023-04-10,2023-04-15,Second Class,CUST-0320,Home Office,West,Gujarat,Ahmedabad,Furniture,Tables,Conference Table,4,0.5,2626.13,117.07
ORD-00472,2023-04-21,2023-04-27,Second Class,CUST-0047,Consumer,South,Karnataka,Mysore,Technology,Machines,Laminator,8,0.1,4775.42,1219.21
ORD-01274,2023-06-13,2023-06-17,Same Day,CUST-0093,Consumer,North,Haryana,Faridabad,Technology,Phones,Phone Case,10,,3195.67,-406.14
ORD-01927,2025-05-05,2025-05-08,First Class,CUST-0217,Consumer,Central,Chhattisgarh,Raipur,Technology,Phones,Smartphone X200,3,0.15,393.0,-43.93
ORD-01545,2024-12-05,2024-12-09,Second Class,CUST-0211,Consumer,Central,Chhattisgarh,Raipur,Office Supplies,Labels,Address Labels,7,0.5,163.81,4.71
ORD-01090,2025-01-08,2025-01-15,Standard Class,CUST-0355,Home Office,East,Odisha,Bhubaneswar,Furniture,Furnishings,Wall Clock,7,0.3,4056.95,415.83
ORD-01355,2025-03-20,2025-03-27,Standard Class,CUST-0211,Home Office,Central,Chhattisgarh,Raipur,Technology,Phones,Smartphone X200,7,0.4,2377.46,513.13
ORD-00359,2025-06-12,2025-06-19,First Class,CUST-0025,Corporate,East,Jharkhand,Ranchi,Office Supplies,Labels,Address Labels,5,0.0,67.42,4.44
ORD-01328,2023-09-08,2023-09-11,Second Class,CUST-0085,Consumer,Central,Chhattisgarh,Raipur,Technology,Phones,Phone Case,8,0.0,8947.61,310.2
ORD-00197,2023-05-26,2023-05-30,Same Day,CUST-0074,Corporate,South,Tamil Nadu,Madurai,Office Supplies,Labels,Shipping Labels,7,0.1,874.99,285.38
ORD-01683,2024-04-18,2024-04-23,Second Class,CUST-0075,Home Office,North,Punjab,Amritsar,Technology,Accessories,USB Cable,1,0.0,602.44,148.42
ORD-01692,2025-02-02,2025-02-08,Standard Class,CUST-0347,Corporate,West,Goa,Panaji,Technology,Accessories,Keyboard,7,0.0,8194.29,2212.96
ORD-00611,2024-08-28,2024-08-31,First Class,CUST-0092,Corporate,Central,Chhattisgarh,Raipur,Technology,Machines,Label Maker,5,0.0,4908.99,139.39
ORD-00362,2023-06-06,2023-06-07,Standard Class,CUST-0382,Consumer,South,Tamil Nadu,Coimbatore,Office Supplies,Storage,Plastic Drawer,6,0.5,352.31,18.54
ORD-00003,2023-09-13,2023-09-17,First Class,CUST-0084,Corporate,North,Haryana,Faridabad,Technology,Accessories,USB Cable,1,0.1,1147.51,70.42
ORD-00667,2024-08-29,2024-09-05,Second Class,CUST-0090,Consumer,North,Haryana,Gurgaon,Office Supplies,Storage,File Cabinet,1,0.0,48.16,2.94
ORD-00528,2024-11-24,2024-12-01,Standard Class,CUST-0053,Home Office,North,Punjab,Ludhiana,Office Supplies,Labels,Shipping Labels,3,0.5,189.83,26.24
ORD-01118,2023-03-21,2023-03-25,Standard Class,CUST-0312,Consumer,South,Karnataka,Bangalore,Office Supplies,Storage,Plastic Drawer,10,0.3,675.81,30.59
ORD-00703,2025-07-04,2025-07-08,Same Day,CUST-0380,Home Office,West,Gujarat,Ahmedabad,Office Supplies,Labels,Address Labels,2,0.5,133.4,23.61
ORD-00603,2025-02-15,2025-02-21,First Class,CUST-0100,Corporate,North,Uttar Pradesh,Lucknow,Office Supplies,Art,Color Pencils,3,0.4,176.59,27.32
ORD-00659,2023-12-02,2023-12-07,Standard Class,CUST-0338,Consumer,South,Kerala,Kochi,Technology,Accessories,Wireless Mouse,6,0.0,923.75,-31.28
ORD-01918,2024-01-28,2024-02-03,First Class,CUST-0297,Consumer,South,Andhra Pradesh,Visakhapatnam,Technology,Phones,Cordless Phone,1,0.4,279.04,7.93
ORD-01825,2024-01-07,2024-01-08,Same Day,CUST-0082,Corporate,Central,Chhattisgarh,Raipur,Furniture,Tables,Computer Desk,8,0.0,1828.7,74.9
ORD-00763,2024-04-30,2024-05-07,Standard Class,CUST-0029,Home Office,North,Delhi,New Delhi,Technology,Phones,Phone Case,6,0.4,1212.71,104.26
ORD-00375,2024-11-22,2024-11-24,Standard Class,CUST-0251,Consumer,North,Haryana,Gurgaon,Office Supplies,Art,Color Pencils,9,,392.94,64.18
ORD-01960,2023-01-03,2023-01-07,Same Day,CUST-0035,Corporate,West,Gujarat,Ahmedabad,Office Supplies,Paper,Notebook,5,0.3,482.54,129.29
ORD-00673,2024-06-07,2024-06-11,Second Class,CUST-0320,Corporate,North,Delhi,New Delhi,Technology,Machines,Laminator,4,0.2,1502.64,-116.66
ORD-01038,2025-05-09,2025-05-13,Standard Class,CUST-0293,Home Office,North,Delhi,New Delhi,Office Supplies,Labels,Shipping Labels,7,0.0,956.02,248.69
ORD-00946,2024-03-06,2024-03-12,Same Day,CUST-0210,Corporate,Central,Chhattisgarh,Raipur,Technology,Phones,Smartphone X200,7,0.1,1524.73,380.56
ORD-00545,2025-04-26,2025-05-01,Standard Class,CUST-0115,Corporate,West,Rajasthan,Jaipur,Technology,Phones,Phone Case,4,0.0,910.99,54.4
ORD-01697,2024-12-04,2024-12-08,Standard Class,CUST-0109,Corporate,North,Uttar Pradesh,Noida,Technology,Phones,Cordless Phone,9,0.0,5792.79,-498.5
ORD-01670,2023-08-14,2023-08-21,Standard Class,CUST-0353,Corporate,North,Uttar Pradesh,Noida,Technology,Accessories,Power Bank,3,0.1,1294.55,28.3
ORD-00607,2024-02-21,2024-02-23,Standard Class,CUST-0011,Corporate,Central,Madhya Pradesh,Indore,Technology,Accessories,USB Cable,6,0.1,531.06,32.66
ORD-00502,2025-11-13,2025-11-18,Standard Class,CUST-0186,Corporate,South,Andhra Pradesh,Vijayawada,Office Supplies,Art,Sketch Pad,1,0.5,34.75,3.98
